




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster2.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster2.txt (552)	cluster2.txt (expected)	cluster2.txt (over/under)	cluster2.txt (fold Enrichment)	cluster2.txt (raw P-value)	cluster2.txt (FDR)
histone H3-K9 modification (GO:0061647)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of peptidase activity (GO:0010952)	37	0	.88	-	 < 0.01	1.00E00	1.00E00
pyrimidine-containing compound salvage (GO:0008655)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of endopeptidase activity (GO:0010951)	51	0	1.21	-	 < 0.01	6.34E-01	1.00E00
phospholipid biosynthetic process (GO:0008654)	80	0	1.90	-	 < 0.01	2.68E-01	1.00E00
positive regulation of endopeptidase activity (GO:0010950)	37	0	.88	-	 < 0.01	1.00E00	1.00E00
response to amine (GO:0014075)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to purine-containing compound (GO:0014074)	16	0	.38	-	 < 0.01	1.00E00	1.00E00
inorganic diphosphate transport (GO:0030505)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-tyrosine sulfation (GO:0006478)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
CENP-A containing chromatin organization (GO:0061641)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
protein sulfation (GO:0006477)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
protein deacetylation (GO:0006476)	25	0	.59	-	 < 0.01	1.00E00	1.00E00
negative regulation of bone mineralization (GO:0030502)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
response to organic cyclic compound (GO:0014070)	114	0	2.71	-	 < 0.01	1.18E-01	1.00E00
positive regulation of bone mineralization (GO:0030501)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
N-terminal protein amino acid acetylation (GO:0006474)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
respiratory electron transport chain (GO:0022904)	53	0	1.26	-	 < 0.01	6.37E-01	1.00E00
protein ADP-ribosylation (GO:0006471)	22	0	.52	-	 < 0.01	1.00E00	1.00E00
protein autoubiquitination (GO:0051865)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
electron transport chain (GO:0022900)	57	0	1.35	-	 < 0.01	6.45E-01	1.00E00
calcium ion import into cytosol (GO:1902656)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
RNA interference (GO:0016246)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
secondary alcohol biosynthetic process (GO:1902653)	11	0	.26	-	 < 0.01	1.00E00	1.00E00
secondary alcohol metabolic process (GO:1902652)	42	0	1.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of macroautophagy (GO:0016242)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	19	0	.45	-	 < 0.01	1.00E00	1.00E00
regulation of macroautophagy (GO:0016241)	19	0	.45	-	 < 0.01	1.00E00	1.00E00
hexose transmembrane transport (GO:0008645)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of protein complex stability (GO:0061635)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
carbohydrate transport (GO:0008643)	22	0	.52	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase signaling (GO:0014065)	14	0	.33	-	 < 0.01	1.00E00	1.00E00
inflammatory response to wounding (GO:0090594)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
signal peptide processing (GO:0006465)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of epinephrine secretion (GO:0014060)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
disruption by host of symbiont cells (GO:0051852)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
modification by host of symbiont morphology or physiology (GO:0051851)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
protein localization to microtubule plus-end (GO:1904825)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
cellular response to organic cyclic compound (GO:0071407)	58	0	1.38	-	 < 0.01	6.47E-01	1.00E00
cellular response to methanol (GO:0071405)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of macroautophagy (GO:0016239)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of necrotic cell death (GO:0010939)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
tertiary alcohol biosynthetic process (GO:1902645)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
lysosomal microautophagy (GO:0016237)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
C-terminal protein amino acid modification (GO:0018410)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
tertiary alcohol metabolic process (GO:1902644)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
macroautophagy (GO:0016236)	64	0	1.52	-	 < 0.01	4.08E-01	1.00E00
maintenance of epithelial cell apical/basal polarity (GO:0045199)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage cytokine production (GO:0010935)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of epithelial cell apical/basal polarity (GO:0045198)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
telomere capping (GO:0016233)	12	0	.29	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	23	0	.55	-	 < 0.01	1.00E00	1.00E00
apoptotic mitochondrial changes (GO:0008637)	17	0	.40	-	 < 0.01	1.00E00	1.00E00
regulation of dopamine secretion (GO:0014059)	26	0	.62	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of neuroblast polarity (GO:0045196)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pharyngeal arch artery morphogenesis (GO:0061626)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c (GO:0008635)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of isotype switching (GO:0045191)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
'de novo' protein folding (GO:0006458)	28	0	.67	-	 < 0.01	1.00E00	1.00E00
intrinsic apoptotic signaling pathway in response to oxidative stress (GO:0008631)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
isotype switching (GO:0045190)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
canonical glycolysis (GO:0061621)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
protein folding (GO:0006457)	116	0	2.76	-	 < 0.01	1.19E-01	1.00E00
glycolytic process through glucose-6-phosphate (GO:0061620)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
translational frameshifting (GO:0006452)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
translational readthrough (GO:0006451)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of translational fidelity (GO:0006450)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
tRNA wobble uridine modification (GO:0002098)	12	0	.29	-	 < 0.01	1.00E00	1.00E00
tRNA wobble base modification (GO:0002097)	13	0	.31	-	 < 0.01	1.00E00	1.00E00
rRNA acetylation involved in maturation of SSU-rRNA (GO:1904812)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-proline hydroxylation to 4-hydroxy-L-proline (GO:0018401)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of receptor internalization (GO:0002092)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-proline hydroxylation to 3-hydroxy-L-proline (GO:0018400)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular component assembly involved in morphogenesis (GO:0010927)	80	0	1.90	-	 < 0.01	2.68E-01	1.00E00
iron-sulfur cluster assembly (GO:0016226)	15	0	.36	-	 < 0.01	1.00E00	1.00E00
regulation of receptor internalization (GO:0002090)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of circadian sleep/wake cycle, sleep (GO:0045187)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphatase activity (GO:0010923)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphatase activity (GO:0010922)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of phosphatase activity (GO:0010921)	17	0	.40	-	 < 0.01	1.00E00	1.00E00
glycolytic process through fructose-6-phosphate (GO:0061615)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
dsDNA loop formation (GO:0090579)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
establishment of endothelial blood-brain barrier (GO:0014045)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of translational termination (GO:0006449)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
Schwann cell development (GO:0014044)	19	0	.45	-	 < 0.01	1.00E00	1.00E00
regulation of translational elongation (GO:0006448)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of translational initiation (GO:0006446)	23	0	.55	-	 < 0.01	1.00E00	1.00E00
regulation of heart rate by cardiac conduction (GO:0086091)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
protein depalmitoylation (GO:0002084)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
assembly of large subunit precursor of preribosome (GO:1902626)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of inositol phosphate biosynthetic process (GO:0010919)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of oxidative phosphorylation (GO:0002082)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
positive regulation of neutrophil migration (GO:1902624)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of neutrophil migration (GO:1902623)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of glutamate receptor signaling pathway (GO:1900449)	20	0	.48	-	 < 0.01	1.00E00	1.00E00
regulation of neutrophil migration (GO:1902622)	21	0	.50	-	 < 0.01	1.00E00	1.00E00
apical protein localization (GO:0045176)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
pyridoxine biosynthetic process (GO:0008615)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Schwann cell differentiation (GO:0014037)	19	0	.45	-	 < 0.01	1.00E00	1.00E00
pyridoxine metabolic process (GO:0008614)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
neural crest cell fate specification (GO:0014036)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine modification to peptidyl-hypusine (GO:0008612)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
neural crest cell fate commitment (GO:0014034)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
valyl-tRNA aminoacylation (GO:0006438)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
ether lipid biosynthetic process (GO:0008611)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
tyrosyl-tRNA aminoacylation (GO:0006437)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
tryptophanyl-tRNA aminoacylation (GO:0006436)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
threonyl-tRNA aminoacylation (GO:0006435)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
seryl-tRNA aminoacylation (GO:0006434)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
prolyl-tRNA aminoacylation (GO:0006433)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
phenylalanyl-tRNA aminoacylation (GO:0006432)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
methionyl-tRNA aminoacylation (GO:0006431)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
lysyl-tRNA aminoacylation (GO:0006430)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of synapse structural plasticity (GO:0051823)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
osteoblast development (GO:0002076)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
extraocular skeletal muscle development (GO:0002074)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
non-replicative transposition, DNA-mediated (GO:0098038)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of glucose metabolic process (GO:0010907)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of glucose metabolic process (GO:0010906)	14	0	.33	-	 < 0.01	1.00E00	1.00E00
cell-cell signaling involved in cell fate commitment (GO:0045168)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
muscle attachment (GO:0016203)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of striated muscle tissue development (GO:0016202)	17	0	.40	-	 < 0.01	1.00E00	1.00E00
notochord formation (GO:0014028)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of membrane permeability (GO:0090559)	12	0	.29	-	 < 0.01	1.00E00	1.00E00
regulation of neuroinflammatory response (GO:0150077)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
neuroinflammatory response (GO:0150076)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
neural keel formation (GO:0014025)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
clustering of voltage-gated sodium channels (GO:0045162)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
establishment of endothelial intestinal barrier (GO:0090557)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
leucyl-tRNA aminoacylation (GO:0006429)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
neuronal ion channel clustering (GO:0045161)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
isoleucyl-tRNA aminoacylation (GO:0006428)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
neural rod formation (GO:0014023)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
histidyl-tRNA aminoacylation (GO:0006427)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
glycyl-tRNA aminoacylation (GO:0006426)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
secondary neural tube formation (GO:0014021)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
glutaminyl-tRNA aminoacylation (GO:0006425)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
glutamyl-tRNA aminoacylation (GO:0006424)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cysteinyl-tRNA aminoacylation (GO:0006423)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
disruption of cells of other organism involved in symbiotic interaction (GO:0051818)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
aspartyl-tRNA aminoacylation (GO:0006422)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
modification of morphology or physiology of other organism involved in symbiotic interaction (GO:0051817)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
asparaginyl-tRNA aminoacylation (GO:0006421)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Roundabout signaling pathway (GO:0035385)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endocytic iron import into cell (GO:0140298)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
arginyl-tRNA aminoacylation (GO:0006420)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
peptidyl-glutamate ADP-deribosylation (GO:0140291)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-serine ADP-deribosylation (GO:0140290)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
neuron death (GO:0070997)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
proton transmembrane transport (GO:1902600)	62	0	1.47	-	 < 0.01	4.07E-01	1.00E00
neuroblast fate commitment (GO:0014017)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
neuroblast differentiation (GO:0014016)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of gliogenesis (GO:0014015)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
alanyl-tRNA aminoacylation (GO:0006419)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of gliogenesis (GO:0014014)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
tRNA aminoacylation for protein translation (GO:0006418)	37	0	.88	-	 < 0.01	1.00E00	1.00E00
regulation of gliogenesis (GO:0014013)	11	0	.26	-	 < 0.01	1.00E00	1.00E00
translational termination (GO:0006415)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
translational elongation (GO:0006414)	30	0	.71	-	 < 0.01	1.00E00	1.00E00
carbon dioxide transmembrane transport (GO:0035378)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
translational initiation (GO:0006413)	49	0	1.16	-	 < 0.01	6.31E-01	1.00E00
transepithelial water transport (GO:0035377)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
translation (GO:0006412)	243	0	5.77	-	 < 0.01	7.89E-03	2.47E-01
protein localization to microtubule (GO:0035372)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
atrial cardiac muscle cell to AV node cell communication (GO:0086066)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endosome fission (GO:0140285)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to ATP (GO:0033198)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
cell communication involved in cardiac conduction (GO:0086065)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
cytolysis in other organism involved in symbiotic interaction (GO:0051801)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
left/right axis specification (GO:0070986)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
dendrite guidance (GO:0070983)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
meiotic sister chromatid segregation (GO:0045144)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
L-asparagine metabolic process (GO:0070982)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
L-asparagine biosynthetic process (GO:0070981)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
microglia development (GO:0014005)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
tRNA export from nucleus (GO:0006409)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
microglia differentiation (GO:0014004)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
meiotic telomere clustering (GO:0045141)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
snRNA export from nucleus (GO:0006408)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
astrocyte development (GO:0014002)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of postsynapse assembly (GO:0150052)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
RNA import into nucleus (GO:0006404)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
tRNA modification (GO:0006400)	46	0	1.09	-	 < 0.01	6.29E-01	1.00E00
thymine transport (GO:0035364)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of histone ubiquitination (GO:0033183)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of histone ubiquitination (GO:0033182)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
cell migration involved in sprouting angiogenesis (GO:0002042)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
protein K11-linked ubiquitination (GO:0070979)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
voltage-gated calcium channel complex assembly (GO:0070978)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
bone maturation (GO:0070977)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
development of primary sexual characteristics (GO:0045137)	14	0	.33	-	 < 0.01	1.00E00	1.00E00
protein localization to endoplasmic reticulum exit site (GO:0070973)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
protein localization to endoplasmic reticulum (GO:0070972)	34	0	.81	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-10 secretion (GO:2001181)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
vesicle tethering involved in exocytosis (GO:0090522)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-10 secretion (GO:2001180)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
sphingolipid mediated signaling pathway (GO:0090520)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
heme transmembrane transport (GO:0035351)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
calcineurin-NFAT signaling cascade (GO:0033173)	11	0	.26	-	 < 0.01	1.00E00	1.00E00
nuclear-transcribed mRNA catabolic process, no-go decay (GO:0070966)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-10 secretion (GO:2001179)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
myo-inositol transport (GO:0015798)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular extravasation (GO:0045123)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to lysosome (GO:0150032)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to lysosome (GO:0150031)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
polyol transport (GO:0015791)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
hypoxanthine transport (GO:0035344)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
histone H3-K9 demethylation (GO:0033169)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
cell-cell fusion (GO:0140253)	14	0	.33	-	 < 0.01	1.00E00	1.00E00
regulation of heart rate (GO:0002027)	13	0	.31	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-activating adrenergic receptor signaling pathway involved in cardiac muscle relaxation (GO:0086030)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
azole transport (GO:0045117)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
protein neddylation (GO:0045116)	11	0	.26	-	 < 0.01	1.00E00	1.00E00
intermediate filament bundle assembly (GO:0045110)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
epiboly involved in wound healing (GO:0090505)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
GDP-fucose transmembrane transport (GO:0015783)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	14	0	.33	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar transmembrane transport (GO:0015780)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
atrial cardiac muscle cell to AV node cell signaling (GO:0086026)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of hippo signaling (GO:0035331)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of intracellular protein transport (GO:0033157)	18	0	.43	-	 < 0.01	1.00E00	1.00E00
regulation of hippo signaling (GO:0035330)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process (GO:0086023)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
T cell receptor V(D)J recombination (GO:0033153)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
immunoglobulin V(D)J recombination (GO:0033152)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
V(D)J recombination (GO:0033151)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
intermediate filament organization (GO:0045109)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
neutrophil mediated killing of bacterium (GO:0070944)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
neutrophil mediated killing of symbiont cell (GO:0070943)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
intermediate filament cytoskeleton organization (GO:0045104)	23	0	.55	-	 < 0.01	1.00E00	1.00E00
neutrophil mediated cytotoxicity (GO:0070942)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
intermediate filament-based process (GO:0045103)	23	0	.55	-	 < 0.01	1.00E00	1.00E00
dephosphorylation of RNA polymerase II C-terminal domain (GO:0070940)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
hippo signaling (GO:0035329)	15	0	.36	-	 < 0.01	1.00E00	1.00E00
postsynaptic endocytosis (GO:0140239)	12	0	.29	-	 < 0.01	1.00E00	1.00E00
cell-cell signaling involved in cardiac conduction (GO:0086019)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
presynaptic endocytosis (GO:0140238)	35	0	.83	-	 < 0.01	1.00E00	1.00E00
xylulose metabolic process (GO:0005997)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
monosaccharide metabolic process (GO:0005996)	60	0	1.43	-	 < 0.01	4.07E-01	1.00E00
positive regulation of intracellular estrogen receptor signaling pathway (GO:0033148)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of intracellular estrogen receptor signaling pathway (GO:0033147)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
atrial cardiac muscle cell action potential (GO:0086014)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of intracellular estrogen receptor signaling pathway (GO:0033146)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
membrane repolarization during cardiac muscle cell action potential (GO:0086013)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
