




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster5.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster5.txt (452)	cluster5.txt (expected)	cluster5.txt (over/under)	cluster5.txt (fold Enrichment)	cluster5.txt (raw P-value)	cluster5.txt (FDR)
positive regulation of organelle organization (GO:0010638)	136	3	2.65	+	1.13	7.50E-01	1.00E00
positive regulation of epithelial cell migration (GO:0010634)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of epithelial cell migration (GO:0010633)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
renal tubule development (GO:0061326)	15	0	.29	-	 < 0.01	1.00E00	1.00E00
regulation of epithelial cell migration (GO:0010632)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
epithelial cell migration (GO:0010631)	33	1	.64	+	1.56	4.81E-01	1.00E00
negative regulation of cellular response to growth factor stimulus (GO:0090288)	47	1	.91	+	1.09	6.04E-01	1.00E00
histone mRNA metabolic process (GO:0008334)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
endosome to lysosome transport (GO:0008333)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
regulation of fatty acid beta-oxidation (GO:0031998)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
cytoskeletal anchoring at nuclear membrane (GO:0090286)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium ion import (GO:0090281)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
adenosine catabolic process (GO:0006154)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium ion import (GO:0090280)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
basic amino acid transmembrane transport (GO:1990822)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
mRNA export from nucleus in response to heat stress (GO:0031990)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleoside catabolic process (GO:0006152)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cAMP-mediated signaling (GO:0043949)	14	1	.27	+	3.67	2.51E-01	1.00E00
peptidyl-tyrosine phosphorylation (GO:0018108)	27	0	.53	-	 < 0.01	1.00E00	1.00E00
peptidyl-threonine phosphorylation (GO:0018107)	29	1	.56	+	1.77	4.39E-01	1.00E00
peptidyl-serine phosphorylation (GO:0018105)	85	3	1.65	+	1.81	2.36E-01	1.00E00
protein C-linked glycosylation (GO:0018103)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
protein citrullination (GO:0018101)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of bone mineralization involved in bone maturation (GO:1900158)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of bone mineralization involved in bone maturation (GO:1900157)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
canonical Wnt signaling pathway involved in heart development (GO:0061316)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of calcium ion import (GO:0090279)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of peptide hormone secretion (GO:0090278)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of peptide hormone secretion (GO:0090277)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of peptide hormone secretion (GO:0090276)	17	0	.33	-	 < 0.01	1.00E00	1.00E00
BMP signaling pathway involved in heart development (GO:0061312)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
cell surface receptor signaling pathway involved in heart development (GO:0061311)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
guanine catabolic process (GO:0006147)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleobase catabolic process (GO:0006145)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of nucleotide metabolic process (GO:0006140)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
cardiac neural crest cell development involved in heart development (GO:0061308)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cardiac neural crest cell differentiation involved in heart development (GO:0061307)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of nodal signaling pathway involved in determination of left/right asymmetry (GO:1900146)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of nodal signaling pathway involved in determination of left/right asymmetry (GO:1900145)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
retinal blood vessel morphogenesis (GO:0061304)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA stability involved in response to stress (GO:0010610)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
cornea development in camera-type eye (GO:0061303)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
cerebellum vasculature development (GO:0061300)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
response to nicotine (GO:0035094)	21	1	.41	+	2.45	3.46E-01	1.00E00
spermatogenesis, exchange of chromosomal proteins (GO:0035093)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
exonucleolytic catabolism of deadenylated mRNA (GO:0043928)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
sperm chromatin condensation (GO:0035092)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of apical/basal cell polarity (GO:0035090)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
axonal transport of mitochondrion (GO:0019896)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
DNA strand elongation involved in nuclear cell cycle DNA replication (GO:1902319)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear DNA replication termination (GO:1902317)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear cell cycle DNA replication initiation (GO:1902315)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytoplasmic mRNA processing body assembly (GO:0010606)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of phospholipase A2 activity (GO:1900138)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of cytoplasmic mRNA processing body assembly (GO:0010603)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of retinal ganglion cell axon guidance (GO:0090259)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of muscle system process (GO:0090257)	35	1	.68	+	1.47	5.01E-01	1.00E00
isoprenoid catabolic process (GO:0008300)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
establishment of apical/basal cell polarity (GO:0035089)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of apical/basal cell polarity (GO:0035088)	23	0	.45	-	 < 0.01	1.00E00	1.00E00
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
siRNA loading onto RISC involved in RNA interference (GO:0035087)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to corticosteroid (GO:0031960)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	16	0	.31	-	 < 0.01	1.00E00	1.00E00
axoneme assembly (GO:0035082)	35	0	.68	-	 < 0.01	1.00E00	1.00E00
antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:0019885)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of sodium ion transmembrane transport (GO:1902307)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
antigen processing and presentation of exogenous antigen (GO:0019884)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of sodium ion transmembrane transport (GO:1902306)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
antigen processing and presentation of endogenous antigen (GO:0019883)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
antigen processing and presentation (GO:0019882)	31	0	.60	-	 < 0.01	1.00E00	1.00E00
regulation of sodium ion transmembrane transport (GO:1902305)	27	0	.53	-	 < 0.01	1.00E00	1.00E00
regulation of hyaluronan biosynthetic process (GO:1900125)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidative phosphorylation (GO:0006119)	43	0	.84	-	 < 0.01	1.00E00	1.00E00
axis elongation involved in somitogenesis (GO:0090245)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein autophosphorylation (GO:0031954)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
NADH oxidation (GO:0006116)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein autophosphorylation (GO:0031953)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein autophosphorylation (GO:0031952)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
glycerol biosynthetic process (GO:0006114)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
energy reserve metabolic process (GO:0006112)	29	1	.56	+	1.77	4.39E-01	1.00E00
regulation of gluconeogenesis (GO:0006111)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of glycolytic process (GO:0006110)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
lysine biosynthetic process via aminoadipic acid (GO:0019878)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of symbiosis, encompassing mutualism through parasitism (GO:0043903)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of multi-organism process (GO:0043902)	62	1	1.21	-	.83	1.00E00	1.00E00
negative regulation of multi-organism process (GO:0043901)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of multi-organism process (GO:0043900)	86	1	1.67	-	.60	1.00E00	1.00E00
extracellular negative regulation of signal transduction (GO:1900116)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle assembly (GO:0070682)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
extracellular regulation of signal transduction (GO:1900115)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
glutaminyl-tRNAGln biosynthesis via transamidation (GO:0070681)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
malate metabolic process (GO:0006108)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone H3-K9 dimethylation (GO:1900111)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of metaphase plate congression (GO:0090235)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of kinetochore assembly (GO:0090234)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
oxaloacetate metabolic process (GO:0006107)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
fumarate metabolic process (GO:0006106)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of glucocorticoid metabolic process (GO:0031943)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
succinate metabolic process (GO:0006105)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
succinyl-CoA metabolic process (GO:0006104)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of centromere complex assembly (GO:0090230)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
2-oxoglutarate metabolic process (GO:0006103)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of histone acetylation (GO:0035067)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
isocitrate metabolic process (GO:0006102)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone acetylation (GO:0035066)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
citrate metabolic process (GO:0006101)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of histone acetylation (GO:0035065)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
uracil metabolic process (GO:0019860)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of histone H3-K9 dimethylation (GO:1900109)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of nodal signaling pathway (GO:1900108)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of nodal signaling pathway (GO:1900107)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
response to interleukin-15 (GO:0070672)	15	0	.29	-	 < 0.01	1.00E00	1.00E00
positive regulation of endoplasmic reticulum unfolded protein response (GO:1900103)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of chromatin silencing at telomere (GO:0031938)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of chromatin silencing (GO:0031937)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of endoplasmic reticulum unfolded protein response (GO:1900101)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of spindle organization (GO:0090224)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
eye field cell fate commitment involved in camera-type eye formation (GO:0060898)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
centrosome-templated microtubule nucleation (GO:0090222)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
chromosome localization to nuclear envelope involved in homologous chromosome segregation (GO:0090220)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
thymine metabolic process (GO:0019859)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase biosynthetic process (GO:0019856)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
L-ascorbic acid biosynthetic process (GO:0019853)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
L-ascorbic acid metabolic process (GO:0019852)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of leukocyte proliferation (GO:0070665)	15	0	.29	-	 < 0.01	1.00E00	1.00E00
negative regulation of leukocyte proliferation (GO:0070664)	24	0	.47	-	 < 0.01	1.00E00	1.00E00
regulation of leukocyte proliferation (GO:0070663)	34	1	.66	+	1.51	4.91E-01	1.00E00
negative regulation of lipid kinase activity (GO:0090219)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
leukocyte proliferation (GO:0070661)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
TOR signaling (GO:0031929)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipid kinase activity (GO:0090218)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pronuclear migration (GO:0035046)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
neuromast hair cell differentiation involved in neuromast regeneration (GO:0070658)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
neuromast regeneration (GO:0070657)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
mechanoreceptor differentiation involved in mechanosensory epithelium regeneration (GO:0070656)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
mechanosensory epithelium regeneration (GO:0070655)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
sensory epithelium regeneration (GO:0070654)	15	1	.29	+	3.43	2.65E-01	1.00E00
positive regulation of triglyceride metabolic process (GO:0090208)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
nonfunctional rRNA decay (GO:0070651)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of triglyceride metabolic process (GO:0090207)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
actin filament bundle distribution (GO:0070650)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell junction assembly (GO:1901890)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
male pronucleus assembly (GO:0035039)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
semicircular canal formation (GO:0060876)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
female pronucleus assembly (GO:0035038)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of release of cytochrome c from mitochondria (GO:0090200)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
sperm-egg recognition (GO:0035036)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
semicircular canal development (GO:0060872)	21	1	.41	+	2.45	3.46E-01	1.00E00
cytolysis (GO:0019835)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
swim bladder formation (GO:0048797)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
formin-nucleated actin cable assembly (GO:0070649)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
protein modification by small protein removal (GO:0070646)	97	3	1.89	+	1.59	4.43E-01	1.00E00
calcium ion-regulated exocytosis of neurotransmitter (GO:0048791)	22	0	.43	-	 < 0.01	1.00E00	1.00E00
regulation of cell junction assembly (GO:1901888)	9	1	.18	+	5.71	1.75E-01	1.00E00
vitamin D3 metabolic process (GO:0070640)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein depolymerization (GO:1901881)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of Rho protein signal transduction (GO:0035024)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
stem cell population maintenance (GO:0019827)	12	1	.23	+	4.28	2.22E-01	1.00E00
hatching gland development (GO:0048785)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of protein depolymerization (GO:1901879)	43	2	.84	+	2.39	2.12E-01	1.00E00
transepithelial transport (GO:0070633)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
signal release (GO:0023061)	78	0	1.52	-	 < 0.01	4.09E-01	1.00E00
somatic stem cell population maintenance (GO:0035019)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of blood-brain barrier (GO:0060856)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
venous endothelial cell migration involved in lymph vessel development (GO:0060855)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
branching involved in lymph vessel morphogenesis (GO:0060854)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Notch signaling pathway involved in arterial endothelial cell fate commitment (GO:0060853)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of centriole replication (GO:0046599)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
tissue remodeling (GO:0048771)	12	1	.23	+	4.28	2.22E-01	1.00E00
signaling (GO:0023052)	3577	62	69.59	-	.89	3.57E-01	1.00E00
positive regulation of muscle tissue development (GO:1901863)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of muscle tissue development (GO:1901862)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of muscle tissue development (GO:1901861)	18	1	.35	+	2.86	3.07E-01	1.00E00
endothelial cell fate specification (GO:0060847)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
arterial endothelial cell fate commitment (GO:0060844)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
arterial endothelial cell differentiation (GO:0060842)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
venous blood vessel development (GO:0060841)	13	1	.25	+	3.95	2.36E-01	1.00E00
artery development (GO:0060840)	30	1	.58	+	1.71	4.50E-01	1.00E00
sarcomerogenesis (GO:0048769)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
quinolinate biosynthetic process (GO:0019805)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan (GO:0019800)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium-dependent cell-cell adhesion (GO:0046588)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein processing (GO:0070613)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of calcium-dependent cell-cell adhesion (GO:0046586)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of Ras protein signal transduction (GO:0046580)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
blood vessel endothelial cell differentiation (GO:0060837)	10	1	.19	+	5.14	1.91E-01	1.00E00
ammonia homeostasis (GO:0097272)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
oocyte animal/vegetal axis specification (GO:0060832)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
ciliary receptor clustering involved in smoothened signaling pathway (GO:0060830)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pigment granule maturation (GO:0048757)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
branching morphogenesis of a nerve (GO:0048755)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
branching morphogenesis of an epithelial tube (GO:0048754)	13	1	.25	+	3.95	2.36E-01	1.00E00
pigment granule organization (GO:0048753)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
semicircular canal morphogenesis (GO:0048752)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
cellular response to ceramide (GO:0106097)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of canonical Wnt signaling pathway involved in neural plate anterior/posterior pattern formation (GO:0060829)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of high voltage-gated calcium channel activity (GO:1901842)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
self proteolysis (GO:0097264)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of high voltage-gated calcium channel activity (GO:1901841)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
actin cortical patch organization (GO:0044396)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of canonical Wnt signaling pathway involved in neural plate anterior/posterior pattern formation (GO:0060827)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
compound eye development (GO:0048749)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of skeletal muscle fiber development (GO:0048743)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
skeletal muscle fiber development (GO:0048741)	46	2	.89	+	2.23	2.33E-01	1.00E00
regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901836)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
inactivation of X chromosome by genetic imprinting (GO:0060819)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
oligodendrocyte apoptotic process (GO:0097252)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial respirasome assembly (GO:0097250)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
glucose import in response to insulin stimulus (GO:0044381)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
protein localization to cytoskeleton (GO:0044380)	15	1	.29	+	3.43	2.65E-01	1.00E00
histone succinylation (GO:0106077)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
epidermis morphogenesis (GO:0048730)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
signal transduction by protein phosphorylation (GO:0023014)	78	3	1.52	+	1.98	2.01E-01	1.00E00
zeaxanthin biosynthetic process (GO:1901827)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
zeaxanthin metabolic process (GO:1901825)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0106072)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
photoreceptor cell fate commitment (GO:0046552)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
mesodermal to mesenchymal transition involved in gastrulation (GO:0060809)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
retinal cone cell fate commitment (GO:0046551)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of peroxisome size (GO:0044375)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
hematopoietic stem cell migration to bone marrow (GO:0097241)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
chromosome attachment to the nuclear envelope (GO:0097240)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
BMP signaling pathway involved in mesodermal cell fate specification (GO:0060803)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to oxidative stress (GO:0034599)	35	0	.68	-	 < 0.01	1.00E00	1.00E00
retinal rod cell development (GO:0046548)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
development of primary male sexual characteristics (GO:0046546)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
development of primary female sexual characteristics (GO:0046545)	9	1	.18	+	5.71	1.75E-01	1.00E00
regulation of cobalamin metabolic process (GO:0106064)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to methylglyoxal (GO:0097238)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
